Club,Dev #s,Comp Under HS #s,Comp HS #s,Total #
Ac Delray,19,113,0,132
Alabama,118,46,0,164
Alaska Rush,105,102,53,260
Amarillo,0,162,71,233
Bluffton Rush,17,102,0,119
Cajun Rush (LA Krewe),0,657,12,669
California Rush (LA),0,0,0,0
Cedar Stars Rush Houston,65,51,64,180
Chicago Rush,0,885,238,1123
Coastal Rush,827,574,575,1976
Colorado Rush,744,777,645,2166
Columbia Rush,109,144,63,316
CRSA,22,16,0,38
Daggers CTX,,,,0
"Delmarva Rush, DE",543,228,37,808
Florida Rush Soccer,661,640,0,1301
Flatirons Rush,41,13,0,54
Fremont Rush,295,222,0,517
Ft. Lauderdale,17,256,5,278
Gateway/Calcio,29,409,100,538
Hawaii Rush,12,18,3,33
Hillsboro Rush,1160,227,0,1387
Idaho Rush,1248,366,254,1868
Iowa Rush,619,410,0,1029
Kansas Rush,130,175,181,486
Kansas Rush Wichita,137,416,115,668
Kentucky Rush,0,0,164,164
LFA Rush,,,,0
LVU Rush,,,,0
Maryland Rush,99,158,95,352
Miami Rush Kendall SC,64,142,254,460
Minnesota Rush,1899,1092,503,3494
Mississippi,237,461,523,1221
Missouri Rush,699,920,331,1950
Montana,711,106,66,883
Mountains Rush FC,0,11,20,31
Nevada Rush,41,55,10,106
New Jersey Rush,0,7,38,45
New Mexico,125,150,125,400
NJ Santos Rush,4,15,60,79
North Carolina Rush,84,83,207,374
Pennsylvania Rush,184,409,220,813
Phoenix Rush,12,6,7,25
PSD,0,17,,17
Palm Beach,0,60,0,60
Quad Cities Rush,86,162,27,275
Rush Union Georgia,761,612,0,1373
San Jose Rush,0,75,105,180
San Antonio Rush,33,30,12,75
Southwest Virginia Rush,14,31,0,45
Superior,141,127,31,299
Star Rush Cincinatti,0,227,101,328
Tennessee Lobos Rush,0,908,198,1106
Twin Cities Rush,2000,750,400,3150
Utah Rush,,,,0
Victory,0,37,0,0
Virginia,1526,406,0,1932
Washington Rush,281,343,9,633
West Texas Rush,90,80,0,170
Wisconsin Rush West,40,117,50,207
Wisconsin SE,78,39,22,139
Wisconsin Union,,,,0
Northeast Combination,244,1541,1827,3612
Rush Select Academy,,,,0
Wisconsin Combined,278,252,279,809
Rush Canada,40,80,80,200
