Club,Dev #s,Comp Under HS #s,Comp HS #s,Total #
Ac Delray,103,84,17,204
Alabama,82,107,250,439
Alaska Rush,,,,0
Amarillo,0,146,90,236
Bluffton Rush,,,,0
Colorado Rush,801,892,690,2383
Cajun Rush (LA Krewe),181,485,342,1008
California Rush (LA),31,90,208,329
Cedar Stars Rush Houston,8,32,62,102
Chicago Rush,0,974,210,1184
Coastal Rush,351,895,855,2101
Columbia Rush,168,85,0,253
CRSA,9,0,58,67
Daggers CTX,0,0,0,0
"Delmarva Rush, DE",554,80,16,650
East Penn,,,,0
Florida Rush Soccer,612,412,429,1453
Flatirons Rush,45,29,0,74
Fremont Rush,232,269,0,501
Ft. Lauderdale,18,221,63,302
Gateway/Calcio,16,288,97,401
Hawaii Rush,496,565,445,1506
Hillsboro Rush,1100,444,0,1544
Idaho Rush,958,351,0,1309
Iowa Rush,1004,378,372,1754
KCMO Rush,0,0,18,18
Kansas Rush,130,180,182,492
Kansas Rush Wichita,117,342,114,573
Kentucky Rush,52,125,0,177
LFA Rush,15,50,15,80
LVU Rush,0,81,131,212
Maryland Rush,81,214,37,332
Miami Rush Kendall SC,15,360,270,645
Minnesota Rush,1613,617,0,2230
Mississippi,203,395,598,1196
Missouri Rush,1008,873,327,2208
Montana,569,106,0,675
Mountain Rush,14,9,0,23
Nevada Rush,21,58,86,165
New Jersey Rush,0,0,47,47
NJ Santos Rush,5,0,55,60
North Carolina Rush,100,79,83,262
Northern Colorado Rush,51,141,44,236
Northeast Combination,398,961,32,1391
Oklahoma Rush,136,21,0,157
Pennsylvania Rush,259,356,192,807
Phoenix Rush,76,141,71,288
Plantation Rush,102,179,88,369
PSD,0,31,17,48
Palm Beach,6,70,0,76
Quad Cities Rush,,,,0
Quincy,128,80,22,230
Rush Canada,,,,0
Rush Union Georgia,751,565,172,1488
San Jose Rush,0,130,70,200
San Antonio Rush,40,24,8,72
Santa Clara Rush,22,48,0,70
Southwest Virginia Rush,15,32,43,90
Superior,208,144,33,385
Star Rush Cincinatti,0,224,0,224
Suisun City Rush,59,30,27,116
Tennessee Lobos Rush,0,854,313,1167
Twin Cities Rush,991,818,0,1809
Utah Rush,17,0,0,17
Victory,0,27,0,0
Virginia,1527,342,129,1998
VA Pennisula,11,15,38,64
Washington Rush,245,349,257,851
West Texas Rush,,,,0
Wisconsin Rush West,39,112,33,184
Wisconsin SE,109,109,0,218
Wisconsin Union,0,267,68,335
Wisconsin Combined,107,267,139,513
Rush Select Academy,0,0,50,50
